id,date,province,cumulative_recovered
382,2020-02-22,Ontario,3
386,2020-02-18,Ontario,1
390,2020-02-14,Ontario,1
394,2020-06-04,PEI,8
398,2020-02-04,PEI,3
402,2020-03-29,PEI,1
406,2020-03-25,PEI,0
410,2020-03-21,PEI,0
414,2020-03-17,PEI,0
418,2020-03-13,PEI,-1
422,2020-09-03,PEI,-1
426,2020-05-03,PEI,-1
430,2020-01-03,PEI,-1
434,2020-02-26,PEI,-1
438,2020-02-22,PEI,-1
442,2020-02-18,PEI,-1
446,2020-02-14,PEI,-1
450,2020-06-04,Quebec,611
454,2020-02-04,Quebec,224
458,2020-03-29,Quebec,84
462,2020-03-25,Quebec,1
466,2020-03-21,Quebec,1
470,2020-03-17,Quebec,0
474,2020-03-13,Quebec,0
478,2020-09-03,Quebec,0
482,2020-05-03,Quebec,0
486,2020-01-03,Quebec,0
490,2020-02-26,Quebec,-1
494,2020-02-22,Quebec,-1
498,2020-02-18,Quebec,-1
502,2020-02-14,Quebec,-1
506,2020-06-04,Saskatchewan,81
510,2020-02-04,Saskatchewan,36
514,2020-03-29,Saskatchewan,8
518,2020-03-25,Saskatchewan,0
522,2020-03-21,Saskatchewan,0
526,2020-03-17,Saskatchewan,0
530,2020-03-13,Saskatchewan,0
534,2020-09-03,Saskatchewan,-1
538,2020-05-03,Saskatchewan,-1
542,2020-01-03,Saskatchewan,-1
546,2020-02-26,Saskatchewan,-1
550,2020-02-22,Saskatchewan,-1
554,2020-02-18,Saskatchewan,-1
558,2020-02-14,Saskatchewan,-1
562,2020-06-04,NWT,1
566,2020-02-04,NWT,0
570,2020-03-29,NWT,0
574,2020-03-25,NWT,0
578,2020-03-21,NWT,0
582,2020-03-17,NWT,-1
586,2020-03-13,NWT,-1
590,2020-09-03,NWT,-1
594,2020-05-03,NWT,-1
598,2020-01-03,NWT,-1
602,2020-02-26,NWT,-1
606,2020-02-22,NWT,-1
610,2020-02-18,NWT,-1
614,2020-02-14,NWT,-1
618,2020-06-04,Nunavut,-1
622,2020-02-04,Nunavut,-1
626,2020-03-29,Nunavut,-1
630,2020-03-25,Nunavut,-1
634,2020-03-21,Nunavut,-1
638,2020-03-17,Nunavut,-1
642,2020-03-13,Nunavut,-1
646,2020-09-03,Nunavut,-1
650,2020-05-03,Nunavut,-1
654,2020-01-03,Nunavut,-1
658,2020-02-26,Nunavut,-1
662,2020-02-22,Nunavut,-1
666,2020-02-18,Nunavut,-1
670,2020-02-14,Nunavut,-1
674,2020-06-04,Yukon,4
678,2020-02-04,Yukon,3
682,2020-03-29,Yukon,0
686,2020-03-25,Yukon,0
690,2020-03-21,Yukon,-1
694,2020-03-17,Yukon,-1
147,2020-04-03,Manitoba,-1
151,2020-02-29,Manitoba,-1
155,2020-02-25,Manitoba,-1
159,2020-02-21,Manitoba,-1
163,2020-02-17,Manitoba,-1
167,2020-02-13,Manitoba,-1
171,2020-05-04,New Brunswick,28
175,2020-01-04,New Brunswick,14
179,2020-03-28,New Brunswick,2
183,2020-03-24,New Brunswick,0
187,2020-03-20,New Brunswick,0
191,2020-03-16,New Brunswick,0
195,2020-12-03,New Brunswick,0
199,2020-08-03,New Brunswick,-1
203,2020-04-03,New Brunswick,-1
207,2020-02-29,New Brunswick,-1
211,2020-02-25,New Brunswick,-1
215,2020-02-21,New Brunswick,-1
219,2020-02-17,New Brunswick,-1
223,2020-02-13,New Brunswick,-1
227,2020-05-04,NL,28
231,2020-01-04,NL,10
235,2020-03-28,NL,4
239,2020-03-24,NL,0
243,2020-03-20,NL,0
247,2020-03-16,NL,0
251,2020-12-03,NL,-1
255,2020-08-03,NL,-1
259,2020-04-03,NL,-1
263,2020-02-29,NL,-1
267,2020-02-25,NL,-1
271,2020-02-21,NL,-1
275,2020-02-17,NL,-1
279,2020-02-13,NL,-1
283,2020-05-04,Nova Scotia,53
287,2020-01-04,Nova Scotia,11
291,2020-03-28,Nova Scotia,4
295,2020-03-24,Nova Scotia,1
299,2020-03-20,Nova Scotia,0
303,2020-03-16,Nova Scotia,0
307,2020-12-03,Nova Scotia,-1
311,2020-08-03,Nova Scotia,-1
315,2020-04-03,Nova Scotia,-1
319,2020-02-29,Nova Scotia,-1
323,2020-02-25,Nova Scotia,-1
327,2020-02-21,Nova Scotia,-1
331,2020-02-17,Nova Scotia,-1
335,2020-02-13,Nova Scotia,-1
339,2020-05-04,Ontario,1449
343,2020-01-04,Ontario,689
347,2020-03-28,Ontario,8
351,2020-03-24,Ontario,8
355,2020-03-20,Ontario,5
359,2020-03-16,Ontario,5
363,2020-12-03,Ontario,5
367,2020-08-03,Ontario,4
371,2020-04-03,Ontario,3
375,2020-02-29,Ontario,3
379,2020-02-25,Ontario,3
383,2020-02-21,Ontario,3
387,2020-02-17,Ontario,1
391,2020-02-13,Ontario,1
395,2020-05-04,PEI,6
399,2020-01-04,PEI,3
403,2020-03-28,PEI,1
407,2020-03-24,PEI,0
411,2020-03-20,PEI,0
415,2020-03-16,PEI,0
419,2020-12-03,PEI,-1
423,2020-08-03,PEI,-1
427,2020-04-03,PEI,-1
431,2020-02-29,PEI,-1
435,2020-02-25,PEI,-1
439,2020-02-21,PEI,-1
443,2020-02-17,PEI,-1
447,2020-02-13,PEI,-1
