id,date,region,transportation_type,value
2388,2020-04-09,Toronto,transit,16.63
2389,2020-04-10,Toronto,transit,14.45
2390,2020-04-11,Toronto,transit,15.44
2391,2020-04-12,Toronto,transit,13.68
2392,2020-04-13,Toronto,transit,16.78
2393,2020-01-13,Toronto,walking,100.0
2394,2020-01-14,Toronto,walking,108.27
2395,2020-01-15,Toronto,walking,109.14
2396,2020-01-16,Toronto,walking,107.4
2397,2020-01-17,Toronto,walking,124.37
2398,2020-01-18,Toronto,walking,101.32
2399,2020-01-19,Toronto,walking,78.84
2400,2020-01-20,Toronto,walking,94.25
2401,2020-01-21,Toronto,walking,99.36
2402,2020-01-22,Toronto,walking,106.82
2403,2020-01-23,Toronto,walking,109.61
2404,2020-01-24,Toronto,walking,123.19
2405,2020-01-25,Toronto,walking,120.48
2406,2020-01-26,Toronto,walking,80.8
2407,2020-01-27,Toronto,walking,94.25
2408,2020-01-28,Toronto,walking,104.44
2409,2020-01-29,Toronto,walking,104.38
2410,2020-01-30,Toronto,walking,107.41
2411,2020-01-31,Toronto,walking,127.03
2412,2020-02-01,Toronto,walking,128.3
2413,2020-02-02,Toronto,walking,78.76
2414,2020-02-03,Toronto,walking,99.94
2415,2020-02-04,Toronto,walking,103.55
2416,2020-02-05,Toronto,walking,100.94
2417,2020-02-06,Toronto,walking,94.36
2418,2020-02-07,Toronto,walking,117.55
2419,2020-02-08,Toronto,walking,120.51
2420,2020-02-09,Toronto,walking,82.53
2421,2020-02-10,Toronto,walking,99.13
2422,2020-02-11,Toronto,walking,105.44
2423,2020-02-12,Toronto,walking,105.93
2424,2020-02-13,Toronto,walking,113.2
2425,2020-02-14,Toronto,walking,136.5
2426,2020-02-15,Toronto,walking,132.36
2427,2020-02-16,Toronto,walking,108.96
2428,2020-02-17,Toronto,walking,84.58
2429,2020-02-18,Toronto,walking,107.88
2430,2020-02-19,Toronto,walking,111.0
2431,2020-02-20,Toronto,walking,120.1
2432,2020-02-21,Toronto,walking,151.17
2433,2020-02-22,Toronto,walking,157.44
2434,2020-02-23,Toronto,walking,106.78
2435,2020-02-24,Toronto,walking,106.95
2436,2020-02-25,Toronto,walking,106.05
2437,2020-02-26,Toronto,walking,90.75
2438,2020-02-27,Toronto,walking,93.96
2439,2020-02-28,Toronto,walking,114.26
2440,2020-02-29,Toronto,walking,127.32
2441,2020-03-01,Toronto,walking,95.86
2442,2020-03-02,Toronto,walking,104.85
2443,2020-03-03,Toronto,walking,112.16
2444,2020-03-04,Toronto,walking,119.56
2445,2020-03-05,Toronto,walking,130.82
2446,2020-03-06,Toronto,walking,123.1
2447,2020-03-07,Toronto,walking,142.35
2448,2020-03-08,Toronto,walking,110.63
2449,2020-03-09,Toronto,walking,115.03
2450,2020-03-10,Toronto,walking,104.64
2451,2020-03-11,Toronto,walking,100.89
2452,2020-03-12,Toronto,walking,96.24
2453,2020-03-13,Toronto,walking,93.02
2454,2020-03-14,Toronto,walking,85.78
2455,2020-03-15,Toronto,walking,64.95
2456,2020-03-16,Toronto,walking,62.02
2457,2020-03-17,Toronto,walking,52.24
2458,2020-03-18,Toronto,walking,47.08
2459,2020-03-19,Toronto,walking,47.32
2460,2020-03-20,Toronto,walking,45.59
2461,2020-03-21,Toronto,walking,41.38
2462,2020-03-22,Toronto,walking,33.73
2463,2020-03-23,Toronto,walking,32.85
2464,2020-03-24,Toronto,walking,37.65
2465,2020-03-25,Toronto,walking,37.51
2466,2020-03-26,Toronto,walking,36.59
2467,2020-03-27,Toronto,walking,41.56
2468,2020-03-28,Toronto,walking,29.89
2469,2020-03-29,Toronto,walking,32.76
2470,2020-03-30,Toronto,walking,32.4
2471,2020-03-31,Toronto,walking,34.07
2472,2020-04-01,Toronto,walking,41.29
2473,2020-04-02,Toronto,walking,40.97
2474,2020-04-03,Toronto,walking,37.27
2475,2020-04-04,Toronto,walking,36.09
2476,2020-04-05,Toronto,walking,34.4
2477,2020-04-06,Toronto,walking,39.02
2478,2020-04-07,Toronto,walking,35.57
2479,2020-04-08,Toronto,walking,40.45
2480,2020-04-09,Toronto,walking,37.03
2481,2020-04-10,Toronto,walking,30.42
2482,2020-04-11,Toronto,walking,35.27
2483,2020-04-12,Toronto,walking,29.38
2484,2020-04-13,Toronto,walking,28.95
2485,2020-01-13,Vancouver,driving,100.0
2486,2020-01-14,Vancouver,driving,101.21
2487,2020-01-15,Vancouver,driving,73.72
2488,2020-01-16,Vancouver,driving,85.84
2489,2020-01-17,Vancouver,driving,105.74
2490,2020-01-18,Vancouver,driving,97.94
2491,2020-01-19,Vancouver,driving,80.17
2492,2020-01-20,Vancouver,driving,103.84
2493,2020-01-21,Vancouver,driving,107.72
2494,2020-01-22,Vancouver,driving,108.64
2495,2020-01-23,Vancouver,driving,112.85
2496,2020-01-24,Vancouver,driving,120.85
2497,2020-01-25,Vancouver,driving,108.37
2498,2020-01-26,Vancouver,driving,85.8
2499,2020-01-27,Vancouver,driving,96.92
2500,2020-01-28,Vancouver,driving,98.68
2501,2020-01-29,Vancouver,driving,99.32
2502,2020-01-30,Vancouver,driving,103.07
2503,2020-01-31,Vancouver,driving,118.83
2504,2020-02-01,Vancouver,driving,108.66
2505,2020-02-02,Vancouver,driving,81.01
2506,2020-02-03,Vancouver,driving,94.2
2507,2020-02-04,Vancouver,driving,86.66
2508,2020-02-05,Vancouver,driving,100.22
2509,2020-02-06,Vancouver,driving,106.86
2510,2020-02-07,Vancouver,driving,119.86
2511,2020-02-08,Vancouver,driving,114.18
2512,2020-02-09,Vancouver,driving,90.05
2513,2020-02-10,Vancouver,driving,99.1
2514,2020-02-11,Vancouver,driving,102.85
2515,2020-02-12,Vancouver,driving,106.29
2516,2020-02-13,Vancouver,driving,111.52
2517,2020-02-14,Vancouver,driving,139.86
2518,2020-02-15,Vancouver,driving,113.14
2519,2020-02-16,Vancouver,driving,98.97
2520,2020-02-17,Vancouver,driving,88.19
2521,2020-02-18,Vancouver,driving,108.41
2522,2020-02-19,Vancouver,driving,112.23
2523,2020-02-20,Vancouver,driving,114.43
2524,2020-02-21,Vancouver,driving,129.42
2525,2020-02-22,Vancouver,driving,115.94
2526,2020-02-23,Vancouver,driving,89.83
2527,2020-02-24,Vancouver,driving,98.5
2528,2020-02-25,Vancouver,driving,104.99
2529,2020-02-26,Vancouver,driving,106.61
2530,2020-02-27,Vancouver,driving,107.42
2531,2020-02-28,Vancouver,driving,127.04
2532,2020-02-29,Vancouver,driving,121.64
2533,2020-03-01,Vancouver,driving,91.03
2534,2020-03-02,Vancouver,driving,100.43
2535,2020-03-03,Vancouver,driving,102.7
2536,2020-03-04,Vancouver,driving,110.2
2537,2020-03-05,Vancouver,driving,109.35
2538,2020-03-06,Vancouver,driving,125.79
2539,2020-03-07,Vancouver,driving,111.07
2540,2020-03-08,Vancouver,driving,89.67
2541,2020-03-09,Vancouver,driving,97.18
2542,2020-03-10,Vancouver,driving,97.44
2543,2020-03-11,Vancouver,driving,99.21
2544,2020-03-12,Vancouver,driving,94.38
2545,2020-03-13,Vancouver,driving,95.67
2546,2020-03-14,Vancouver,driving,83.21
2547,2020-03-15,Vancouver,driving,67.11
2548,2020-03-16,Vancouver,driving,72.78
2549,2020-03-17,Vancouver,driving,66.01
2550,2020-03-18,Vancouver,driving,61.53
2551,2020-03-19,Vancouver,driving,58.56
2552,2020-03-20,Vancouver,driving,61.11
2553,2020-03-21,Vancouver,driving,50.31
2554,2020-03-22,Vancouver,driving,35.53
2555,2020-03-23,Vancouver,driving,44.05
2556,2020-03-24,Vancouver,driving,43.16
2557,2020-03-25,Vancouver,driving,45.92
2558,2020-03-26,Vancouver,driving,42.29
2559,2020-03-27,Vancouver,driving,46.72
2560,2020-03-28,Vancouver,driving,38.28
2561,2020-03-29,Vancouver,driving,36.44
2562,2020-03-30,Vancouver,driving,42.91
2563,2020-03-31,Vancouver,driving,46.19
2564,2020-04-01,Vancouver,driving,46.31
2565,2020-04-02,Vancouver,driving,44.62
2566,2020-04-03,Vancouver,driving,50.64
2567,2020-04-04,Vancouver,driving,43.59
2568,2020-04-05,Vancouver,driving,38.19
2569,2020-04-06,Vancouver,driving,47.09
2570,2020-04-07,Vancouver,driving,47.94
2571,2020-04-08,Vancouver,driving,50.6
2572,2020-04-09,Vancouver,driving,56.21
2573,2020-04-10,Vancouver,driving,48.02
